,season,md,home_team,away_team,home_goals,away_goals,year
2812,1972/1973,22,1. FC Cologne,Hamburger SV,2,1,1973
2813,1972/1973,22,Bayern München,Wuppertaler SV,4,1,1973
2814,1972/1973,22,Fortuna Düsseldorf,Borussia Mönchengladbach,1,3,1973
2815,1972/1973,22,SC Rot-Weiß Oberhausen,Hertha BSC,2,1,1973
2816,1972/1973,22,Hannover 96,MSV Duisburg,3,3,1973
2817,1972/1973,22,SV Werder Bremen,Eintracht Braunschweig,4,2,1973
2818,1972/1973,22,Kickers Offenbach,FC Schalke 04,2,0,1973
2819,1972/1973,22,1. FC Kaiserslautern,VfB Stuttgart,2,1,1973
2820,1972/1973,23,MSV Duisburg,1. FC Kaiserslautern,3,4,1973
2821,1972/1973,23,Wuppertaler SV,SC Rot-Weiß Oberhausen,3,1,1973
2822,1972/1973,23,Hamburger SV,Hannover 96,2,0,1973
2823,1972/1973,23,FC Schalke 04,Bayern München,1,1,1973
2824,1972/1973,23,VfB Stuttgart,Fortuna Düsseldorf,2,2,1973
2825,1972/1973,23,Eintracht Frankfurt,Kickers Offenbach,0,3,1973
2826,1972/1973,23,Hertha BSC,SV Werder Bremen,2,1,1973
2827,1972/1973,23,Eintracht Braunschweig,1. FC Cologne,2,0,1973
2828,1972/1973,23,Borussia Mönchengladbach,VfL Bochum,6,0,1973
2829,1972/1973,24,Kickers Offenbach,Borussia Mönchengladbach,2,1,1973
2830,1972/1973,24,SC Rot-Weiß Oberhausen,FC Schalke 04,2,1,1973
2831,1972/1973,24,1. FC Kaiserslautern,Hamburger SV,2,2,1973
2832,1972/1973,24,Eintracht Braunschweig,Hertha BSC,2,1,1973
2833,1972/1973,24,1. FC Cologne,Hannover 96,3,3,1973
2834,1972/1973,24,Fortuna Düsseldorf,MSV Duisburg,2,1,1973
2835,1972/1973,24,Bayern München,Eintracht Frankfurt,3,1,1973
2836,1972/1973,24,VfL Bochum,VfB Stuttgart,3,1,1973
2837,1972/1973,24,SV Werder Bremen,Wuppertaler SV,0,1,1973
2838,1972/1973,25,VfB Stuttgart,Kickers Offenbach,4,2,1973
2839,1972/1973,25,Borussia Mönchengladbach,Bayern München,0,3,1973
2840,1972/1973,25,Wuppertaler SV,Eintracht Braunschweig,2,1,1973
2841,1972/1973,25,Hamburger SV,Fortuna Düsseldorf,2,1,1973
2842,1972/1973,25,Hertha BSC,1. FC Cologne,1,1,1973
2843,1972/1973,25,Hannover 96,1. FC Kaiserslautern,2,3,1973
2844,1972/1973,25,FC Schalke 04,SV Werder Bremen,1,2,1973
2845,1972/1973,25,MSV Duisburg,VfL Bochum,0,1,1973
2846,1972/1973,25,Eintracht Frankfurt,SC Rot-Weiß Oberhausen,2,1,1973
2847,1972/1973,26,Bayern München,VfB Stuttgart,5,1,1973
2848,1972/1973,26,Kickers Offenbach,MSV Duisburg,4,1,1973
2849,1972/1973,26,1. FC Cologne,1. FC Kaiserslautern,2,0,1973
2850,1972/1973,26,SC Rot-Weiß Oberhausen,Borussia Mönchengladbach,1,3,1973
2851,1972/1973,26,Fortuna Düsseldorf,Hannover 96,0,1,1973
2852,1972/1973,26,Eintracht Braunschweig,FC Schalke 04,1,1,1973
2853,1972/1973,26,VfL Bochum,Hamburger SV,3,3,1973
2854,1972/1973,26,SV Werder Bremen,Eintracht Frankfurt,2,0,1973
2855,1972/1973,26,Hertha BSC,Wuppertaler SV,0,1,1973
2856,1972/1973,27,Hamburger SV,Kickers Offenbach,1,0,1973
2857,1972/1973,27,Wuppertaler SV,1. FC Cologne,2,2,1973
2858,1972/1973,27,VfB Stuttgart,SC Rot-Weiß Oberhausen,3,0,1973
2859,1972/1973,27,1. FC Kaiserslautern,Fortuna Düsseldorf,1,1,1973
2860,1972/1973,27,MSV Duisburg,Bayern München,2,0,1973
2861,1972/1973,27,Hannover 96,VfL Bochum,1,1,1973
2862,1972/1973,27,FC Schalke 04,Hertha BSC,1,1,1973
2863,1972/1973,27,Eintracht Frankfurt,Eintracht Braunschweig,1,0,1973
2864,1972/1973,27,Borussia Mönchengladbach,SV Werder Bremen,3,1,1973
2865,1972/1973,28,SC Rot-Weiß Oberhausen,MSV Duisburg,4,0,1973
2866,1972/1973,28,Bayern München,Hamburger SV,1,0,1973
2867,1972/1973,28,Hertha BSC,Eintracht Frankfurt,3,1,1973
2868,1972/1973,28,Wuppertaler SV,FC Schalke 04,4,1,1973
2869,1972/1973,28,SV Werder Bremen,VfB Stuttgart,0,2,1973
2870,1972/1973,28,Kickers Offenbach,Hannover 96,2,1,1973
2871,1972/1973,28,VfL Bochum,1. FC Kaiserslautern,3,0,1973
2872,1972/1973,28,Eintracht Braunschweig,Borussia Mönchengladbach,0,0,1973
2873,1972/1973,28,1. FC Cologne,Fortuna Düsseldorf,1,0,1973
2874,1972/1973,29,1. FC Kaiserslautern,Kickers Offenbach,3,1,1973
2875,1972/1973,29,FC Schalke 04,1. FC Cologne,2,2,1973
2876,1972/1973,29,Fortuna Düsseldorf,VfL Bochum,1,1,1973
2877,1972/1973,29,Borussia Mönchengladbach,Hertha BSC,2,2,1973
2878,1972/1973,29,Hamburger SV,SC Rot-Weiß Oberhausen,6,0,1973
2879,1972/1973,29,Eintracht Frankfurt,Wuppertaler SV,2,1,1973
2880,1972/1973,29,Hannover 96,Bayern München,1,3,1973
2881,1972/1973,29,VfB Stuttgart,Eintracht Braunschweig,4,0,1973
2882,1972/1973,29,MSV Duisburg,SV Werder Bremen,1,2,1973
2883,1972/1973,30,Hertha BSC,VfB Stuttgart,5,1,1973
2884,1972/1973,30,FC Schalke 04,Eintracht Frankfurt,3,2,1973
2885,1972/1973,30,SV Werder Bremen,Hamburger SV,1,4,1973
2886,1972/1973,30,Bayern München,1. FC Kaiserslautern,6,0,1973
2887,1972/1973,30,Wuppertaler SV,Borussia Mönchengladbach,0,5,1973
2888,1972/1973,30,SC Rot-Weiß Oberhausen,Hannover 96,1,0,1973
2889,1972/1973,30,Kickers Offenbach,Fortuna Düsseldorf,1,1,1973
2890,1972/1973,30,1. FC Cologne,VfL Bochum,2,1,1973
2891,1972/1973,30,Eintracht Braunschweig,MSV Duisburg,1,1,1973
2892,1972/1973,31,Fortuna Düsseldorf,Bayern München,0,0,1973
2893,1972/1973,31,Eintracht Frankfurt,1. FC Cologne,5,0,1973
2894,1972/1973,31,Hannover 96,SV Werder Bremen,2,2,1973
2895,1972/1973,31,MSV Duisburg,Hertha BSC,2,1,1973
2896,1972/1973,31,Hamburger SV,Eintracht Braunschweig,1,0,1973
2897,1972/1973,31,Borussia Mönchengladbach,FC Schalke 04,4,1,1973
2898,1972/1973,31,VfL Bochum,Kickers Offenbach,2,3,1973
2899,1972/1973,31,VfB Stuttgart,Wuppertaler SV,4,2,1973
2900,1972/1973,31,1. FC Kaiserslautern,SC Rot-Weiß Oberhausen,6,2,1973
2901,1972/1973,32,Eintracht Braunschweig,Hannover 96,3,2,1973
2902,1972/1973,32,Hertha BSC,Hamburger SV,2,1,1973
2903,1972/1973,32,SV Werder Bremen,1. FC Kaiserslautern,5,1,1973
2904,1972/1973,32,Wuppertaler SV,MSV Duisburg,5,0,1973
2905,1972/1973,32,Kickers Offenbach,1. FC Cologne,2,3,1973
2906,1972/1973,32,SC Rot-Weiß Oberhausen,Fortuna Düsseldorf,0,3,1973
2907,1972/1973,32,FC Schalke 04,VfB Stuttgart,2,0,1973
2908,1972/1973,32,Bayern München,VfL Bochum,5,1,1973
2909,1972/1973,32,Borussia Mönchengladbach,Eintracht Frankfurt,0,2,1973
2910,1972/1973,33,VfL Bochum,SC Rot-Weiß Oberhausen,2,2,1973
2911,1972/1973,33,1. FC Cologne,Borussia Mönchengladbach,3,1,1973
2912,1972/1973,33,Kickers Offenbach,Bayern München,0,3,1973
2913,1972/1973,33,VfB Stuttgart,Eintracht Frankfurt,2,2,1973
2914,1972/1973,33,Fortuna Düsseldorf,SV Werder Bremen,2,1,1973
2915,1972/1973,33,Hamburger SV,Wuppertaler SV,2,2,1973
2916,1972/1973,33,1. FC Kaiserslautern,Eintracht Braunschweig,3,0,1973
2917,1972/1973,33,Hannover 96,Hertha BSC,2,0,1973
2918,1972/1973,33,MSV Duisburg,FC Schalke 04,0,1,1973
2919,1972/1973,34,FC Schalke 04,Hamburger SV,2,0,1973
2920,1972/1973,34,Eintracht Braunschweig,Fortuna Düsseldorf,1,2,1973
2921,1972/1973,34,Hertha BSC,1. FC Kaiserslautern,4,1,1973
2922,1972/1973,34,Bayern München,1. FC Cologne,1,1,1973
2923,1972/1973,34,SC Rot-Weiß Oberhausen,Kickers Offenbach,2,1,1973
2924,1972/1973,34,Borussia Mönchengladbach,VfB Stuttgart,3,4,1973
2925,1972/1973,34,SV Werder Bremen,VfL Bochum,5,2,1973
2926,1972/1973,34,Eintracht Frankfurt,MSV Duisburg,1,3,1973
2927,1972/1973,34,Wuppertaler SV,Hannover 96,0,4,1973
2928,1973/1974,1,Borussia Mönchengladbach,Fortuna Cologne,3,1,1974
2929,1973/1974,1,1. FC Cologne,Eintracht Frankfurt,1,1,1974
2930,1973/1974,1,MSV Duisburg,Hannover 96,1,1,1974
2931,1973/1974,1,VfL Bochum,Wuppertaler SV,2,1,1974
2932,1973/1974,1,Bayern München,Fortuna Düsseldorf,3,1,1974
2933,1973/1974,1,Hamburger SV,Hertha BSC,0,2,1974
2934,1973/1974,1,1. FC Kaiserslautern,SV Werder Bremen,2,2,1974
2935,1973/1974,1,Kickers Offenbach,Rot-Weiss Essen,1,1,1974
2936,1973/1974,1,VfB Stuttgart,FC Schalke 04,3,0,1974
2937,1973/1974,2,FC Schalke 04,VfL Bochum,3,1,1974
2938,1973/1974,2,Eintracht Frankfurt,MSV Duisburg,3,0,1974
2939,1973/1974,2,Hannover 96,1. FC Kaiserslautern,4,2,1974
2940,1973/1974,2,Fortuna Düsseldorf,1. FC Cologne,3,0,1974
2941,1973/1974,2,Wuppertaler SV,Hamburger SV,3,0,1974
2942,1973/1974,2,Rot-Weiss Essen,Borussia Mönchengladbach,2,6,1974
2943,1973/1974,2,Fortuna Cologne,Bayern München,0,3,1974
2944,1973/1974,2,SV Werder Bremen,VfB Stuttgart,1,1,1974
2945,1973/1974,2,Hertha BSC,Kickers Offenbach,2,2,1974
2946,1973/1974,3,VfL Bochum,SV Werder Bremen,0,0,1974
2947,1973/1974,3,Bayern München,Rot-Weiss Essen,2,0,1974
2948,1973/1974,3,Hamburger SV,FC Schalke 04,5,2,1974
2949,1973/1974,3,Fortuna Cologne,Fortuna Düsseldorf,1,1,1974
2950,1973/1974,3,VfB Stuttgart,Hannover 96,5,1,1974
2951,1973/1974,3,Borussia Mönchengladbach,Hertha BSC,1,1,1974
2952,1973/1974,3,Kickers Offenbach,Wuppertaler SV,0,1,1974
2953,1973/1974,3,MSV Duisburg,1. FC Cologne,5,1,1974
2954,1973/1974,3,1. FC Kaiserslautern,Eintracht Frankfurt,1,4,1974
2955,1973/1974,4,SV Werder Bremen,Hamburger SV,1,1,1974
2956,1973/1974,4,Rot-Weiss Essen,Fortuna Cologne,0,2,1974
2957,1973/1974,4,Wuppertaler SV,Borussia Mönchengladbach,2,4,1974
2958,1973/1974,4,Hertha BSC,Bayern München,2,2,1974
2959,1973/1974,4,FC Schalke 04,Kickers Offenbach,0,2,1974
2960,1973/1974,4,Hannover 96,VfL Bochum,1,2,1974
2961,1973/1974,4,Eintracht Frankfurt,VfB Stuttgart,4,3,1974
2962,1973/1974,4,1. FC Cologne,1. FC Kaiserslautern,3,1,1974
2963,1973/1974,4,Fortuna Düsseldorf,MSV Duisburg,2,1,1974
2964,1973/1974,5,Bayern München,Wuppertaler SV,3,0,1974
2965,1973/1974,5,Kickers Offenbach,SV Werder Bremen,4,0,1974
2966,1973/1974,5,Hamburger SV,Hannover 96,1,4,1974
2967,1973/1974,5,Borussia Mönchengladbach,FC Schalke 04,6,0,1974
2968,1973/1974,5,VfB Stuttgart,1. FC Cologne,2,1,1974
2969,1973/1974,5,Fortuna Cologne,Hertha BSC,3,3,1974
2970,1973/1974,5,Rot-Weiss Essen,Fortuna Düsseldorf,1,4,1974
2971,1973/1974,5,VfL Bochum,Eintracht Frankfurt,1,1,1974
2972,1973/1974,5,1. FC Kaiserslautern,MSV Duisburg,2,1,1974
2973,1973/1974,6,Wuppertaler SV,Fortuna Cologne,0,0,1974
2974,1973/1974,6,Hannover 96,Kickers Offenbach,2,3,1974
2975,1973/1974,6,MSV Duisburg,VfB Stuttgart,1,0,1974
2976,1973/1974,6,1. FC Cologne,VfL Bochum,2,2,1974
2977,1973/1974,6,FC Schalke 04,Bayern München,5,5,1974
2978,1973/1974,6,Hertha BSC,Rot-Weiss Essen,1,1,1974
2979,1973/1974,6,Fortuna Düsseldorf,1. FC Kaiserslautern,2,5,1974
2980,1973/1974,6,SV Werder Bremen,Borussia Mönchengladbach,2,3,1974
2981,1973/1974,6,Eintracht Frankfurt,Hamburger SV,1,0,1974
2982,1973/1974,7,Fortuna Cologne,FC Schalke 04,1,1,1974
2983,1973/1974,7,Kickers Offenbach,Eintracht Frankfurt,5,2,1974
2984,1973/1974,7,Rot-Weiss Essen,Wuppertaler SV,2,1,1974
2985,1973/1974,7,Bayern München,SV Werder Bremen,2,2,1974
2986,1973/1974,7,Hamburger SV,1. FC Cologne,3,1,1974
2987,1973/1974,7,Hertha BSC,Fortuna Düsseldorf,2,0,1974
2988,1973/1974,7,VfB Stuttgart,1. FC Kaiserslautern,3,4,1974
2989,1973/1974,7,Borussia Mönchengladbach,Hannover 96,4,3,1974
2990,1973/1974,7,VfL Bochum,MSV Duisburg,3,0,1974
2991,1973/1974,8,FC Schalke 04,Rot-Weiss Essen,3,1,1974
2992,1973/1974,8,Hannover 96,Bayern München,3,1,1974
2993,1973/1974,8,Eintracht Frankfurt,Borussia Mönchengladbach,1,0,1974
2994,1973/1974,8,SV Werder Bremen,Fortuna Cologne,2,0,1974
2995,1973/1974,8,Fortuna Düsseldorf,VfB Stuttgart,2,0,1974
2996,1973/1974,8,MSV Duisburg,Hamburger SV,0,0,1974
2997,1973/1974,8,Wuppertaler SV,Hertha BSC,2,1,1974
2998,1973/1974,8,1. FC Cologne,Kickers Offenbach,2,0,1974
2999,1973/1974,8,1. FC Kaiserslautern,VfL Bochum,0,2,1974
3000,1973/1974,9,Bayern München,Eintracht Frankfurt,2,2,1974
3001,1973/1974,9,Hamburger SV,1. FC Kaiserslautern,0,2,1974
3002,1973/1974,9,Rot-Weiss Essen,SV Werder Bremen,3,1,1974
3003,1973/1974,9,Wuppertaler SV,Fortuna Düsseldorf,2,2,1974
3004,1973/1974,9,VfL Bochum,VfB Stuttgart,0,0,1974
3005,1973/1974,9,Hertha BSC,FC Schalke 04,1,0,1974
3006,1973/1974,9,Kickers Offenbach,MSV Duisburg,2,0,1974
3007,1973/1974,9,Borussia Mönchengladbach,1. FC Cologne,1,1,1974
3008,1973/1974,9,Fortuna Cologne,Hannover 96,2,2,1974
3009,1973/1974,10,Fortuna Düsseldorf,VfL Bochum,1,1,1974
3010,1973/1974,10,SV Werder Bremen,Hertha BSC,4,1,1974
3011,1973/1974,10,1. FC Cologne,Bayern München,4,3,1974
3012,1973/1974,10,Hannover 96,Rot-Weiss Essen,1,2,1974
3013,1973/1974,10,VfB Stuttgart,Hamburger SV,3,0,1974
3014,1973/1974,10,1. FC Kaiserslautern,Kickers Offenbach,3,0,1974
3015,1973/1974,10,FC Schalke 04,Wuppertaler SV,4,2,1974
3016,1973/1974,10,MSV Duisburg,Borussia Mönchengladbach,1,2,1974
3017,1973/1974,10,Eintracht Frankfurt,Fortuna Cologne,4,2,1974
3018,1973/1974,11,Rot-Weiss Essen,Eintracht Frankfurt,6,3,1974
3019,1973/1974,11,Bayern München,MSV Duisburg,4,2,1974
3020,1973/1974,11,Fortuna Cologne,1. FC Cologne,0,2,1974
3021,1973/1974,11,Hamburger SV,VfL Bochum,5,0,1974
3022,1973/1974,11,Kickers Offenbach,VfB Stuttgart,2,1,1974
3023,1973/1974,11,Borussia Mönchengladbach,1. FC Kaiserslautern,2,2,1974
3024,1973/1974,11,FC Schalke 04,Fortuna Düsseldorf,4,2,1974
3025,1973/1974,11,Wuppertaler SV,SV Werder Bremen,4,1,1974
3026,1973/1974,11,Hertha BSC,Hannover 96,4,2,1974
3027,1973/1974,12,SV Werder Bremen,FC Schalke 04,2,1,1974
3028,1973/1974,12,Hannover 96,Wuppertaler SV,1,1,1974
3029,1973/1974,12,1. FC Cologne,Rot-Weiss Essen,3,2,1974
3030,1973/1974,12,VfB Stuttgart,Borussia Mönchengladbach,6,1,1974
3031,1973/1974,12,Eintracht Frankfurt,Hertha BSC,2,0,1974
3032,1973/1974,12,1. FC Kaiserslautern,Bayern München,7,4,1974
3033,1973/1974,12,Fortuna Düsseldorf,Hamburger SV,2,0,1974
3034,1973/1974,12,VfL Bochum,Kickers Offenbach,4,1,1974
3035,1973/1974,12,MSV Duisburg,Fortuna Cologne,1,3,1974
3036,1973/1974,13,Bayern München,VfB Stuttgart,3,0,1974
3037,1973/1974,13,FC Schalke 04,Hannover 96,3,1,1974
3038,1973/1974,13,Kickers Offenbach,Hamburger SV,2,5,1974
3039,1973/1974,13,SV Werder Bremen,Fortuna Düsseldorf,0,0,1974
3040,1973/1974,13,Hertha BSC,1. FC Cologne,2,2,1974
3041,1973/1974,13,Fortuna Cologne,1. FC Kaiserslautern,3,3,1974
3042,1973/1974,13,Rot-Weiss Essen,MSV Duisburg,4,2,1974
3043,1973/1974,13,Wuppertaler SV,Eintracht Frankfurt,1,1,1974
3044,1973/1974,13,Borussia Mönchengladbach,VfL Bochum,2,0,1974
3045,1973/1974,14,MSV Duisburg,Hertha BSC,1,1,1974
3046,1973/1974,14,Hannover 96,SV Werder Bremen,0,1,1974
3047,1973/1974,14,Fortuna Düsseldorf,Kickers Offenbach,3,3,1974
3048,1973/1974,14,Hamburger SV,Borussia Mönchengladbach,1,0,1974
3049,1973/1974,14,Eintracht Frankfurt,FC Schalke 04,2,1,1974
3050,1973/1974,14,VfB Stuttgart,Fortuna Cologne,2,1,1974
3051,1973/1974,14,1. FC Kaiserslautern,Rot-Weiss Essen,0,0,1974
3052,1973/1974,14,1. FC Cologne,Wuppertaler SV,0,0,1974
3053,1973/1974,14,VfL Bochum,Bayern München,0,1,1974
3054,1973/1974,15,Rot-Weiss Essen,VfB Stuttgart,3,3,1974
3055,1973/1974,15,SV Werder Bremen,Eintracht Frankfurt,1,2,1974
3056,1973/1974,15,Bayern München,Hamburger SV,4,1,1974
3057,1973/1974,15,Fortuna Düsseldorf,Hannover 96,2,0,1974
3058,1973/1974,15,Kickers Offenbach,Borussia Mönchengladbach,2,3,1974
3059,1973/1974,15,FC Schalke 04,1. FC Cologne,2,2,1974
3060,1973/1974,15,Fortuna Cologne,VfL Bochum,2,2,1974
3061,1973/1974,15,Wuppertaler SV,MSV Duisburg,2,0,1974
3062,1973/1974,15,Hertha BSC,1. FC Kaiserslautern,3,1,1974
3063,1973/1974,16,MSV Duisburg,FC Schalke 04,2,0,1974
3064,1973/1974,16,Kickers Offenbach,Bayern München,2,2,1974
3065,1973/1974,16,1. FC Cologne,SV Werder Bremen,2,0,1974
3066,1973/1974,16,VfL Bochum,Rot-Weiss Essen,1,2,1974
3067,1973/1974,16,1. FC Kaiserslautern,Wuppertaler SV,4,0,1974
3068,1973/1974,16,VfB Stuttgart,Hertha BSC,2,0,1974
3069,1973/1974,16,Eintracht Frankfurt,Hannover 96,1,1,1974
3070,1973/1974,16,Hamburger SV,Fortuna Cologne,4,0,1974
3071,1973/1974,16,Borussia Mönchengladbach,Fortuna Düsseldorf,1,2,1974
3072,1973/1974,17,Hertha BSC,VfL Bochum,4,2,1974
3073,1973/1974,17,Hannover 96,1. FC Cologne,1,0,1974
3074,1973/1974,17,Fortuna Düsseldorf,Eintracht Frankfurt,1,0,1974
3075,1973/1974,17,Bayern München,Borussia Mönchengladbach,4,3,1974
3076,1973/1974,17,Fortuna Cologne,Kickers Offenbach,2,1,1974
3077,1973/1974,17,Rot-Weiss Essen,Hamburger SV,1,1,1974
3078,1973/1974,17,FC Schalke 04,1. FC Kaiserslautern,3,3,1974
3079,1973/1974,17,Wuppertaler SV,VfB Stuttgart,3,4,1974
3080,1973/1974,17,SV Werder Bremen,MSV Duisburg,1,2,1974
3081,1973/1974,18,Fortuna Düsseldorf,Bayern München,4,2,1974
3082,1973/1974,18,Hannover 96,MSV Duisburg,2,2,1974
3083,1973/1974,18,SV Werder Bremen,1. FC Kaiserslautern,3,1,1974
3084,1973/1974,18,Hertha BSC,Hamburger SV,2,1,1974
3085,1973/1974,18,Rot-Weiss Essen,Kickers Offenbach,1,2,1974
3086,1973/1974,18,FC Schalke 04,VfB Stuttgart,2,3,1974
3087,1973/1974,18,Wuppertaler SV,VfL Bochum,2,0,1974
3088,1973/1974,18,Eintracht Frankfurt,1. FC Cologne,2,1,1974
3089,1973/1974,18,Fortuna Cologne,Borussia Mönchengladbach,3,5,1974
3090,1973/1974,19,VfB Stuttgart,SV Werder Bremen,2,2,1974
3091,1973/1974,19,1. FC Kaiserslautern,Hannover 96,2,1,1974
3092,1973/1974,19,1. FC Cologne,Fortuna Düsseldorf,4,2,1974
3093,1973/1974,19,Hamburger SV,Wuppertaler SV,2,1,1974
3094,1973/1974,19,Kickers Offenbach,Hertha BSC,1,1,1974
3095,1973/1974,19,Borussia Mönchengladbach,Rot-Weiss Essen,2,2,1974
3096,1973/1974,19,Bayern München,Fortuna Cologne,5,1,1974
3097,1973/1974,19,VfL Bochum,FC Schalke 04,2,5,1974
3098,1973/1974,19,MSV Duisburg,Eintracht Frankfurt,1,1,1974
3099,1973/1974,20,Wuppertaler SV,Kickers Offenbach,1,1,1974
3100,1973/1974,20,SV Werder Bremen,VfL Bochum,1,0,1974
3101,1973/1974,20,FC Schalke 04,Hamburger SV,3,1,1974
3102,1973/1974,20,Hertha BSC,Borussia Mönchengladbach,3,4,1974
3103,1973/1974,20,Fortuna Düsseldorf,Fortuna Cologne,5,1,1974
3104,1973/1974,20,Hannover 96,VfB Stuttgart,3,0,1974
3105,1973/1974,20,1. FC Cologne,MSV Duisburg,5,1,1974
3106,1973/1974,20,Eintracht Frankfurt,1. FC Kaiserslautern,3,1,1974
3107,1973/1974,20,Rot-Weiss Essen,Bayern München,0,1,1974
3108,1973/1974,21,Kickers Offenbach,FC Schalke 04,1,2,1974
3109,1973/1974,21,Bayern München,Hertha BSC,3,1,1974
3110,1973/1974,21,Borussia Mönchengladbach,Wuppertaler SV,7,1,1974
3111,1973/1974,21,Fortuna Cologne,Rot-Weiss Essen,1,3,1974
3112,1973/1974,21,Hamburger SV,SV Werder Bremen,3,0,1974
3113,1973/1974,21,MSV Duisburg,Fortuna Düsseldorf,0,1,1974
3114,1973/1974,21,1. FC Kaiserslautern,1. FC Cologne,1,2,1974
3115,1973/1974,21,VfB Stuttgart,Eintracht Frankfurt,3,1,1974
3116,1973/1974,21,VfL Bochum,Hannover 96,3,1,1974
3117,1973/1974,22,Eintracht Frankfurt,VfL Bochum,3,1,1974
3118,1973/1974,22,SV Werder Bremen,Kickers Offenbach,0,2,1974
3119,1973/1974,22,MSV Duisburg,1. FC Kaiserslautern,2,1,1974
3120,1973/1974,22,FC Schalke 04,Borussia Mönchengladbach,2,0,1974
3121,1973/1974,22,1. FC Cologne,VfB Stuttgart,5,2,1974
3122,1973/1974,22,Hertha BSC,Fortuna Cologne,1,1,1974
3123,1973/1974,22,Fortuna Düsseldorf,Rot-Weiss Essen,3,0,1974
3124,1973/1974,22,Hannover 96,Hamburger SV,2,2,1974
3125,1973/1974,22,Wuppertaler SV,Bayern München,1,4,1974
3126,1973/1974,23,VfB Stuttgart,MSV Duisburg,0,1,1974
3127,1973/1974,23,Bayern München,FC Schalke 04,5,1,1974
3128,1973/1974,23,Rot-Weiss Essen,Hertha BSC,3,2,1974
3129,1973/1974,23,Borussia Mönchengladbach,SV Werder Bremen,3,1,1974
3130,1973/1974,23,Fortuna Cologne,Wuppertaler SV,2,1,1974
3131,1973/1974,23,VfL Bochum,1. FC Cologne,0,2,1974
3132,1973/1974,23,Hamburger SV,Eintracht Frankfurt,4,2,1974
3133,1973/1974,23,1. FC Kaiserslautern,Fortuna Düsseldorf,3,2,1974
3134,1973/1974,23,Kickers Offenbach,Hannover 96,2,1,1974
3135,1973/1974,24,1. FC Kaiserslautern,VfB Stuttgart,4,0,1974
3136,1973/1974,24,Fortuna Düsseldorf,Hertha BSC,1,1,1974
3137,1973/1974,24,Wuppertaler SV,Rot-Weiss Essen,2,0,1974
3138,1973/1974,24,SV Werder Bremen,Bayern München,1,1,1974
3139,1973/1974,24,Eintracht Frankfurt,Kickers Offenbach,2,2,1974
3140,1973/1974,24,Hannover 96,Borussia Mönchengladbach,0,2,1974
3141,1973/1974,24,FC Schalke 04,Fortuna Cologne,6,1,1974
3142,1973/1974,24,MSV Duisburg,VfL Bochum,0,0,1974
3143,1973/1974,24,1. FC Cologne,Hamburger SV,1,2,1974
3144,1973/1974,25,VfL Bochum,1. FC Kaiserslautern,2,2,1974
3145,1973/1974,25,Rot-Weiss Essen,FC Schalke 04,2,5,1974
3146,1973/1974,25,VfB Stuttgart,Fortuna Düsseldorf,0,0,1974
3147,1973/1974,25,Fortuna Cologne,SV Werder Bremen,1,3,1974
3148,1973/1974,25,Borussia Mönchengladbach,Eintracht Frankfurt,0,0,1974
3149,1973/1974,25,Bayern München,Hannover 96,5,1,1974
3150,1973/1974,25,Kickers Offenbach,1. FC Cologne,1,2,1974
3151,1973/1974,25,Hertha BSC,Wuppertaler SV,3,0,1974
3152,1973/1974,25,Hamburger SV,MSV Duisburg,2,0,1974
3153,1973/1974,26,1. FC Kaiserslautern,Hamburger SV,1,4,1974
3154,1973/1974,26,Fortuna Düsseldorf,Wuppertaler SV,2,0,1974
3155,1973/1974,26,SV Werder Bremen,Rot-Weiss Essen,1,1,1974
3156,1973/1974,26,1. FC Cologne,Borussia Mönchengladbach,0,1,1974
3157,1973/1974,26,VfB Stuttgart,VfL Bochum,2,0,1974
3158,1973/1974,26,FC Schalke 04,Hertha BSC,3,0,1974
3159,1973/1974,26,MSV Duisburg,Kickers Offenbach,4,0,1974
3160,1973/1974,26,Hannover 96,Fortuna Cologne,1,1,1974
3161,1973/1974,26,Eintracht Frankfurt,Bayern München,1,1,1974
3162,1973/1974,27,Rot-Weiss Essen,Hannover 96,1,1,1974
3163,1973/1974,27,Hertha BSC,SV Werder Bremen,0,0,1974
3164,1973/1974,27,Bayern München,1. FC Cologne,4,1,1974
3165,1973/1974,27,Kickers Offenbach,1. FC Kaiserslautern,2,3,1974
3166,1973/1974,27,Wuppertaler SV,FC Schalke 04,1,1,1974
3167,1973/1974,27,Borussia Mönchengladbach,MSV Duisburg,3,2,1974
3168,1973/1974,27,VfL Bochum,Fortuna Düsseldorf,3,3,1974
3169,1973/1974,27,Hamburger SV,VfB Stuttgart,1,0,1974
3170,1973/1974,27,Fortuna Cologne,Eintracht Frankfurt,3,2,1974
3171,1973/1974,28,Hannover 96,Hertha BSC,3,1,1974
3172,1973/1974,28,MSV Duisburg,Bayern München,0,4,1974
3173,1973/1974,28,VfL Bochum,Hamburger SV,2,0,1974
3174,1973/1974,28,VfB Stuttgart,Kickers Offenbach,4,0,1974
3175,1973/1974,28,1. FC Cologne,Fortuna Cologne,5,0,1974
3176,1973/1974,28,Fortuna Düsseldorf,FC Schalke 04,0,1,1974
3177,1973/1974,28,SV Werder Bremen,Wuppertaler SV,3,0,1974
3178,1973/1974,28,Eintracht Frankfurt,Rot-Weiss Essen,6,0,1974
3179,1973/1974,28,1. FC Kaiserslautern,Borussia Mönchengladbach,2,4,1974
